"id","name","desc"
"tectonic_activity","Tectonic Activity","The surface of $market is unstable and prone to violent quakes. Any structures require special reinforcement and any excavation will involve a great deal of risk."
"extreme_tectonic_activity","Extreme Tectonic Activtity","$market's crust roils chaotically with extreme quakes and cataclysmic volcanism events. Any operations will require exceptional care and use of many-times redundant warning systems so that the worst dangers can be avoided. Construction on this world can only ever be considered semi-permanent."
"no_atmosphere","No Atmosphere","No appreciable atmosphere exists on $market. Its surface is exposed to the hard weathering of space, a steady drizzle of radiation and micrometeorites."
"thin_atmosphere","Thin Atmosphere","A rarefied atmosphere clings determinedly to $market's surface."
"toxic_atmosphere","Toxic Atmosphere","The atmosphere of $market is exceptionally toxic and corrosive, abrading unprotected surfaces and requiring the hermetic sealing of any inhabited spaces."
"dense_atmosphere","Dense Atmosphere","The surface of $market is shrouded in a thick atmosphere, turbulent vortices at its crown and a cloying soup at its lowest foothold. Sensors are impaired, and operations must be made with care."
"mild_climate","Mild Climate","The climate of $market is welcoming and docile; a light mist greets each sunrise before retreating into soft clouds that glow appealingly at every sunset."
"extreme_weather","Extreme Weather","Violent storms bristling lightning rage across the skies of $market. Though a sublime beauty from orbit, this produces harsh surface conditions making transportation and habitation highly inconvenient."
"low_gravity","Low Gravity","Gravity is exceptionally low, though significantly above zero-g, on the surface of $market. Workflow and operation of (relatively) heavy machinery is complicated by the non-standard procedures required to deal with altered conditions of friction, weight, and pressure dynamics."
"high_gravity","High Gravity","The force of gravity on the surface of $market is crushingly high. Humans require powered exoskeletons for regular movement and find even basic actions exhausting. Continual habitation is grueling at best. All operations take place with a heightened danger of falls and - if specialized engineering is not performed with adequete paranoia - structural collapse."
"irradiated","Irradiated","The surface of $market is ravaged by radiation. Any living being must be confined to a shielded habitat to live for long here. Unhardened circuits and nanoscale materials or machinery will also rapidly fail in these harsh conditions."
"inimical_biosphere","Inimical Biosphere","The biosphere of $market is deadly to unprotected human beings. While the conditions are fascinating to biological scientists, surface technicians are hampered by strict quarantine protocols when carrying out routine tasks."
"water_surface","Water-covered Surface","This is an ocean world with no substantial solid surface to land, walk, or build upon. Operations are complicated by the need for specialized training and equipment."
"poor_light","Poor Light","The light of $market's primary only provides feeble illumination and energy to this world."
"dark","Darkness","The surface of $market is dark and full of shadow, receiving effectively zero illumination from its primary."
"meteor_impacts","Meteor Impacts","This world is bombarded at an appalling rate by regular meteor-showers. Any human inhabitant, however temporary, must keep a wary eye skyward. Any permanent installations would be best buried deep and well fortified."
"pollution","Pollution","Human industry has left this world filled with dioxins, sulphur compounds, ash, and the steady ticking of decaying radioactive dust. Scraps of plastic cling to shards of foam-metal, the sky tuned to a dead channel."
"ore_sparse","Sparse Ore Deposits","A few sparse ore deposits exist here, but they are more of academic than industrial interest for their extraction is barely economical."
"ore_moderate","Moderate Ore Deposits","$market contains moderate ore deposits that, under the right economic conditions, could be profitably exploited."
"ore_abundant","Abundant Ore Deposits","Abundant, widespread, and profitably extractable ore deposits can be found on $market."
"ore_rich","Rich Ore Deposits","Rich mineral deposits form a thick lattice within the crust of $market but require an ambitious industrialist to exploit them for fabulous profit."
"ore_ultrarich","Ultrarich Ore Deposits","Mineral wealth exists on Midas-touched $market beyond the wildest fantasies of the legendary mining megacorps of the Domain era."
"rare_ore_sparse","Sparse Rare Ore Deposits","A few sparse transplutonic ore deposits exist here, but they are more of academic than industrial interest for their extraction is barely economical."
"rare_ore_moderate","Moderate Rare Ore Deposits","$market contains modest transplutonic deposits that, with sustained industry and investment, could be profitably tapped."
"rare_ore_abundant","Abundant Rare Ore Deposits","Abundant transplutonic deposits lay within the crust of $market, enough to fuel the ambitions of any worthwhile warlord or magnate."
"rare_ore_rich","Rich Rare Ore Deposits","Thick bands of transplutonics spread with glorious profusion through the crust of $market, promising great and potent power to they who would but reach out and take them."
"rare_ore_ultrarich","Ultrarich Rare Ore Deposits","The transplutonic deposits glimmering with unbelievable density on the sensor-grid evoke portents of a power which could forge mighty war-fleets to burn worlds to ash -- or an eon of splendour and wealth for a polity of crystal towers as existed in the pre-collapse cycles of the Domain."
"volatiles_trace","Trace Volatiles","The trace volatiles found here barely warrant harvesting."
"volatiles_diffuse","Diffuse Volatiles","Diffuse volatiles can be found here, and may be sufficient for industrial extraction."
"volatiles_abundant","Abundant Volatiles","Abundant volatiles may be economically extracted from $market."
"volatiles_plentiful","Plentiful Volatiles","$market is a world-sized wellspring of volatiles - rich, deep, and potent."
"organics_trace","Trace Organics","$market is nearly barren of organics reserves, though some extraction is possible."
"organics_common","Common Organics","Economically exploitable reserves of organics can be found on $market."
"organics_abundant","Abundant Organics","A river of wealth flows beneath the surface of $market - for those that would find and tap it."
"organics_plentiful","Plentiful Organics","Reservoirs of valuable organics burst through the surface of $market in gouts over deep, dark pools that promise oceans of wealth to be found just below."
"farmland_poor","Poor Farmland","Plant life grows only stunted and wearily here. It would require farmers with talent equal to their desperation to make these lands bear fruit."
"farmland_adequate","Adequate Farmland","A robust terran-compatible biosphere allows agricultural cultivation to take place on $market."
"farmland_rich","Rich Farmland","The fields of $market promise a rich harvest to reward the farmers that work these fertile lands."
"farmland_bountiful","Bountiful Farmland","$market is a veritable Eden; flowering, riotous, lush, and luminous with plant life. Branches hang low, laden with fruit; fields of golden grain shimmer in the herbaceous breeze."
"solar_array","Orbital Solar Array","This planet has an array of solar shades or mirrors in orbit, judiciously positioned to bring its surface conditions closer to terran norms."
