name,id,desc
Chaleur extrême,very_hot,"La chaleur extrême nécessite un équipement et un protocole spécialisés pour opérer en toute sécurité sur $market, ce qui complique sérieusement la logistique, le maintien de la vie et la stabilité des infrastructures sur le long terme."
,,
,,
Tectonic Activity,tectonic_activity,The surface of $market is unstable and prone to violent quakes. Any structures require special reinforcement and any excavation will involve a great deal of risk.
Extreme Tectonic Activtity,extreme_tectonic_activity,$market's crust roils chaotically with extreme quakes and cataclysmic volcanism events. Any operations will require exceptional care and use of many-times redundant warning systems so that the worst dangers can be avoided. Construction on this world can only ever be considered semi-permanent.
,,
,,
Sans atmosphère,no_atmosphere,Il n'existe aucune atmosphère appréciable sur $market. Sa surface est exposée à la rudesse de l'espace ainsi qu'à une bruine régulière de radiations et de micrométéorites.
Thin Atmosphere,thin_atmosphere,A rarefied atmosphere clings determinedly to $market's surface.
Toxic Atmosphere,toxic_atmosphere,"The atmosphere of $market is exceptionally toxic and corrosive, abrading unprotected surfaces and requiring the hermetic sealing of any inhabited spaces."
Dense Atmosphere,dense_atmosphere,"The surface of $market is shrouded in a thick atmosphere, turbulent vortices at its crown and a cloying soup at its lowest foothold. Sensors are impaired, and operations must be made with care."
,,
,,
Mild Climate,mild_climate,The climate of $market is welcoming and docile; a light mist greets each sunrise before retreating into soft clouds that glow appealingly at every sunset.
Extreme Weather,extreme_weather,"Violent storms bristling lightning rage across the skies of $market. Though a sublime beauty from orbit, this produces harsh surface conditions making transportation and habitation highly inconvenient."
,,
Gravité faible,low_gravity,"La gravité est exceptionnellement faible, bien que nettement supérieure à zéro-g, sur la surface de $market. Le travail et le fonctionnement des machines lourdes (relativement) sont compliqués par les procédures exceptionnelles requises pour faire face aux conditions altérées de friction, de poids et de dynamique de pression."
Gravité élevée,high_gravity,La force de gravité à la surface de $market est écrasante. Les humains ont besoin d'exosquelettes motorisés pour le moindre déplacement et la moindre action de base s'avère épuisante. Y vivre longtemps est au mieux éreintant. Chaque opération comporte un risque accru de chutes et - si l'ingénierie spécialisée n'est pas réalisée avec une paranoïa adéquate - d'effondrement structurel.
,,
Irradiated,irradiated,The surface of $market is ravaged by radiation. Any living being must be confined to a shielded habitat to live for long here. Unhardened circuits and nanoscale materials or machinery will also rapidly fail in these harsh conditions.
,,
,,
Inimical Biosphere,inimical_biosphere,"The biosphere of $market is deadly to unprotected human beings. While the conditions are fascinating to biological scientists, surface technicians are hampered by strict quarantine protocols when carrying out routine tasks."
,,
Water-covered Surface,water_surface,"This is an ocean world with no substantial solid surface to land, walk, or build upon. Operations are complicated by the need for specialized training and equipment."
,,
Poor Light,poor_light,The light of $market's primary only provides feeble illumination and energy to this world.
Darkness,dark,"The surface of $market is dark and full of shadow, receiving effectively zero illumination from its primary."
,,
Meteor Impacts,meteor_impacts,"This world is bombarded at an appalling rate by regular meteor-showers. Any human inhabitant, however temporary, must keep a wary eye skyward. Any permanent installations would be best buried deep and well fortified."
,,
,,
Pollution,pollution,"Human industry has left this world filled with dioxins, sulphur compounds, ash, and the steady ticking of decaying radioactive dust. Scraps of plastic cling to shards of foam-metal, the sky tuned to a dead channel."
,,
,,
Sparse Ore Deposits,ore_sparse,"A few sparse ore deposits exist here, but they are more of academic than industrial interest for their extraction is barely economical."
Moderate Ore Deposits,ore_moderate,"$market contains moderate ore deposits that, under the right economic conditions, could be profitably exploited."
Abundant Ore Deposits,ore_abundant,"Abundant, widespread, and profitably extractable ore deposits can be found on $market."
Rich Ore Deposits,ore_rich,Rich mineral deposits form a thick lattice within the crust of $market but require an ambitious industrialist to exploit them for fabulous profit.
Ultrarich Ore Deposits,ore_ultrarich,Mineral wealth exists on Midas-touched $market beyond the wildest fantasies of the legendary mining megacorps of the Domain era.
,,
,,
Sparse Rare Ore Deposits,rare_ore_sparse,"A few sparse transplutonic ore deposits exist here, but they are more of academic than industrial interest for their extraction is barely economical."
Moderate Rare Ore Deposits,rare_ore_moderate,"$market contains modest transplutonic deposits that, with sustained industry and investment, could be profitably tapped."
Abundant Rare Ore Deposits,rare_ore_abundant,"Abundant transplutonic deposits lay within the crust of $market, enough to fuel the ambitions of any worthwhile warlord or magnate."
Rich Rare Ore Deposits,rare_ore_rich,"Thick bands of transplutonics spread with glorious profusion through the crust of $market, promising great and potent power to they who would but reach out and take them."
Ultrarich Rare Ore Deposits,rare_ore_ultrarich,The transplutonic deposits glimmering with unbelievable density on the sensor-grid evoke portents of a power which could forge mighty war-fleets to burn worlds to ash -- or an eon of splendour and wealth for a polity of crystal towers as existed in the pre-collapse cycles of the Domain.
,,
,,
Trace Volatiles,volatiles_trace,The trace volatiles found here barely warrant harvesting.
Diffuse Volatiles,volatiles_diffuse,"Diffuse volatiles can be found here, and may be sufficient for industrial extraction."
Abundant Volatiles,volatiles_abundant,Abundant volatiles may be economically extracted from $market.
Plentiful Volatiles,volatiles_plentiful,"$market is a world-sized wellspring of volatiles - rich, deep, and potent."
,,
,,
Trace Organics,organics_trace,"$market is nearly barren of organics reserves, though some extraction is possible."
Common Organics,organics_common,Economically exploitable reserves of organics can be found on $market.
Abundant Organics,organics_abundant,A river of wealth flows beneath the surface of $market - for those that would find and tap it.
Plentiful Organics,organics_plentiful,"Reservoirs of valuable organics burst through the surface of $market in gouts over deep, dark pools that promise oceans of wealth to be found just below."
,,
,,
Poor Farmland,farmland_poor,Plant life grows only stunted and wearily here. It would require farmers with talent equal to their desperation to make these lands bear fruit.
Adequate Farmland,farmland_adequate,A robust terran-compatible biosphere allows agricultural cultivation to take place on $market.
Rich Farmland,farmland_rich,The fields of $market promise a rich harvest to reward the farmers that work these fertile lands.
Bountiful Farmland,farmland_bountiful,"$market is a veritable Eden; flowering, riotous, lush, and luminous with plant life. Branches hang low, laden with fruit; fields of golden grain shimmer in the herbaceous breeze."
,,
Orbital Solar Array,solar_array,"This planet has an array of solar shades or mirrors in orbit, judiciously positioned to bring its surface conditions closer to terran norms."
